log_id,timestamp,user_id,event_type,session_id
5001,2024-02-02 12:41:10.283119,User_232,logout,872
5002,2024-02-03 14:44:17.705513,User_68,purchase,834
5003,2024-02-02 02:33:54.865427,User_123,purchase,305
5004,2024-02-06 16:34:35.827144,User_76,purchase,806
5005,2024-02-07 08:15:42.63328,User_332,click,83
5006,2024-02-09 23:55:54.252354,User_325,logout,448
5007,2024-02-06 04:23:55.268186,User_469,purchase,679
5008,2024-02-05 19:20:41.817297,User_296,click,836
5009,2024-02-04 07:53:06.505755,User_132,purchase,307
5010,2024-02-05 03:47:17.144656,User_363,page_view,424
5011,2024-02-09 00:29:11.747063,User_287,click,574
5012,2024-02-09 16:18:44.481796,User_51,logout,40
5013,2024-02-07 22:09:18.399368,User_8,logout,264
5014,2024-02-09 21:02:10.269244,User_221,page_view,840
5015,2024-02-07 17:52:08.952707,User_327,purchase,970
5016,2024-02-08 05:05:35.790276,User_490,purchase,791
5017,2024-02-02 13:21:25.650222,User_312,purchase,329
5018,2024-02-04 10:36:57.343441,User_390,click,243
5019,2024-02-10 03:34:51.462889,User_279,click,464
5020,2024-02-06 17:22:07.456368,User_385,page_view,29
5021,2024-02-10 09:37:00.988672,User_407,click,387
5022,2024-02-05 05:41:37.678176,User_146,logout,191
5023,2024-02-05 17:08:25.672617,User_100,purchase,848
5024,2024-02-02 07:34:25.817147,User_485,login,265
5025,2024-02-04 17:53:25.274037,User_74,page_view,685
5026,2024-02-08 20:03:15.243761,User_188,logout,971
5027,2024-02-09 02:53:44.166484,User_301,page_view,657
5028,2024-02-06 14:51:23.184295,User_324,page_view,178
5029,2024-02-03 23:42:38.549715,User_185,page_view,706
5030,2024-02-09 03:48:54.679896,User_107,page_view,505
5031,2024-02-05 06:34:40.414982,User_169,logout,714
5032,2024-02-05 03:08:47.486652,User_474,purchase,87
5033,2024-02-07 21:17:39.099931,User_473,purchase,535
5034,2024-02-02 21:40:37.487605,User_116,click,508
5035,2024-02-01 04:43:49.499312,User_169,click,573
5036,2024-02-04 01:45:28.946927,User_494,click,436
5037,2024-02-05 02:25:07.664845,User_492,logout,423
5038,2024-02-04 13:50:22.373921,User_14,logout,260
5039,2024-02-07 07:51:14.288097,User_396,click,991
5040,2024-02-03 12:35:11.583858,User_426,page_view,241
5041,2024-02-02 09:36:53.465717,User_1,page_view,981
5042,2024-02-02 14:59:40.978222,User_118,logout,274
5043,2024-02-02 08:55:14.310919,User_445,logout,97
5044,2024-02-08 09:43:47.12416,User_415,click,944
5045,2024-02-02 03:43:05.939068,User_12,click,400
5046,2024-02-08 01:17:38.165548,User_382,purchase,612
5047,2024-02-04 20:49:53.467166,User_24,login,700
5048,2024-02-08 08:41:50.107397,User_408,,586
5049,2024-02-06 01:11:17.637141,User_440,logout,98
5050,2024-02-10 03:04:58.966386,User_11,click,202
5051,2024-02-06 15:48:46.181853,User_230,page_view,719
5052,2024-02-07 22:15:00.48049,User_135,purchase,748
5053,2024-02-04 03:15:00.625077,User_94,click,257
5054,2024-02-07 03:02:48.57986,User_260,,390
5055,2024-02-06 21:00:32.448423,User_196,click,955
5056,2024-02-06 00:04:21.645534,User_13,login,332
5057,2024-02-01 18:17:10.215526,User_37,click,589
5058,2024-02-07 05:08:54.080247,User_126,page_view,805
5059,2024-02-04 17:53:40.379109,User_129,,493
5060,2024-02-05 08:14:12.317599,User_365,click,621
5061,2024-02-09 10:27:10.810266,User_386,page_view,485
5062,2024-02-01 09:22:10.025141,User_495,click,959
5063,2024-02-03 07:18:57.57739,User_150,purchase,192
5064,2024-02-06 15:28:27.139678,User_148,page_view,291
5065,2024-02-06 08:48:06.512631,User_459,login,815
5066,2024-02-01 07:58:07.160511,User_201,logout,247
5067,2024-02-09 07:14:43.444635,User_431,click,284
5068,2024-02-10 10:10:00.151505,User_13,login,535
5069,2024-02-09 16:58:33.707864,User_314,click,244
5070,2024-02-06 22:10:11.658057,User_441,login,42
5071,2024-02-01 19:18:34.155577,User_352,click,79
5072,2024-02-10 05:06:37.806521,User_99,login,150
5073,2024-02-04 18:21:45.634445,User_433,,283
5074,2024-02-01 03:56:08.667873,User_168,,555
5075,2024-02-01 00:38:53.400556,User_92,login,871
5076,2024-02-02 00:15:07.510012,User_418,page_view,867
5077,2024-02-06 13:37:18.969817,User_251,logout,900
5078,2024-02-01 13:02:52.906949,User_112,purchase,834
5079,2024-02-04 13:15:48.5973,User_385,logout,675
5080,2024-02-06 09:11:46.627668,User_179,login,182
5081,2024-02-04 00:07:21.771312,User_276,purchase,962
5082,2024-02-01 01:14:43.579357,User_220,click,934
5083,2024-02-02 04:22:33.298777,User_344,login,119
5084,2024-02-09 05:08:42.055613,User_52,purchase,472
5085,2024-02-02 09:28:32.386451,User_445,page_view,345
5086,2024-02-10 08:41:27.356819,User_307,purchase,734
5087,2024-02-06 02:59:13.042831,User_190,click,919
5088,2024-02-10 04:24:32.629223,User_470,logout,611
5089,2024-02-04 08:47:38.497603,User_384,purchase,14
5090,2024-02-05 01:55:00.425144,User_382,logout,534
5091,2024-02-03 08:31:29.763363,User_387,logout,223
5092,2024-02-03 11:23:36.920627,User_442,page_view,851
5093,2024-02-09 05:59:06.600591,User_312,click,401
5094,2024-02-10 18:04:47.842239,User_158,logout,827
5095,2024-02-09 11:57:28.804243,User_174,click,544
5096,2024-02-06 23:33:46.770147,User_446,purchase,157
5097,2024-02-10 06:39:22.156567,User_376,click,29
5098,2024-02-10 01:38:39.169485,User_119,page_view,388
5099,2024-02-02 03:00:54.269559,User_105,logout,843
5100,2024-02-01 19:44:20.688834,User_385,click,431
5101,2024-02-10 17:55:18.829206,User_329,,847
5102,2024-02-04 02:32:52.660426,User_399,,634
5103,2024-02-08 20:30:49.71669,User_489,click,782
5104,2024-02-10 00:58:10.109974,User_405,click,211
5105,2024-02-10 13:23:14.927187,User_250,page_view,151
5106,2024-02-03 04:34:21.096963,User_494,page_view,950
5107,2024-02-01 22:57:37.709601,User_127,purchase,843
5108,2024-02-08 03:15:17.582385,User_103,logout,884
5109,2024-02-02 14:11:00.104365,User_190,,106
5110,2024-02-03 14:56:44.579218,User_288,purchase,225
5111,2024-02-09 07:40:29.941466,User_16,login,13
5112,2024-02-06 13:50:44.578208,User_307,click,998
5113,2024-02-04 21:27:36.927816,User_494,page_view,611
5114,2024-02-01 07:11:41.823481,User_392,click,639
5115,2024-02-09 12:06:34.794827,User_370,,582
5116,2024-02-06 01:10:37.162774,User_415,click,455
5117,2024-02-03 10:06:56.595915,User_487,click,537
5118,2024-02-10 00:23:03.051095,User_120,,508
5119,2024-02-01 20:02:43.907357,User_427,page_view,170
5120,2024-02-02 22:09:37.39501,User_173,purchase,183
5121,2024-02-03 15:16:20.902335,User_405,click,112
5122,2024-02-01 23:01:46.326667,User_4,click,644
